code,name,event,date_window,type,confidence,source,updated,note
028300,HLB,리보세라닙+캄렐리주맙 간암 FDA 허가 결정(3차·binary),2026-07-23,허가,G,biospectator/mt.co.kr,2026-06-17,거절시 갭하락 위험·무효화트리거 필수
087010,펩트론,일라이릴리 플랫폼 평가종료→본계약(L/O) 여부,2026-10,L/O,Y,greened/biospectator,2026-06-17,오송2공장 완공 상반기 별도
196170,알테오젠,키트루다SC 로열티 본격 수령+신규 기술이전 논의,2026-연중,로열티,Y,biospectator,2026-06-17,FDA승인은 25/9 과거(제외)
277810,레인보우로보틱스,세종공장 준공+RB-Y1 하반기 양산,2026-H2,양산,G,dealsite/daum,2026-06-17,삼성 휴머노이드 병존
108490,로보티즈,자율주행 배송로봇 흑자전환+현대차 액추에이터,2026-연간,실적,Y,dailyinvest,2026-06-17,
036930,주성엔지니어링,SK하이닉스 CAPEX 30조+ → HBM용 ALD 발주,2026-연중,수주,Y,creditnews,2026-06-17,증권사 전망
080220,제주반도체,LPDDR4X 출시+온디바이스 AI 수요,2026-연내,신제품,Y,pinpointnews,2026-06-17,
247540,에코프로비엠,헝가리 공장 2Q 양극재 양산+유럽 신규고객,2026-Q2,양산,G,thelec,2026-06-17,
086520,에코프로,헝가리 하반기 정상가동+광물가 래깅효과,2026-H2,양산,Y,hankyung,2026-06-17,
083650,비에이치아이,수주 가이던스 2조(AI DC전력·LNG·원전),2026-연중,수주,G,finance-scope/newspim,2026-06-17,개별수주는 DART 자동수집과 중복
257720,실리콘투,미국 대형리테일(Costco·Sam's·Walgreens) 입점 확대,2026-연중,유통,Y,truefriend,2026-06-17,
043260,성호전자,forward 이벤트 확인 안 됨,-,미확인,R,,2026-06-17,구체 시점·계약 없음
420770,기가비스,일본기판사 AOI/AOR/VRS 공급(매출18%)+신공장 7월가동+수주연속,2026-연중,수주,G,thelec,2026-06-18,PER~70배 선반영 주의·deep-dive완료
298380,에이비엘바이오,이중항체 ABL503 임상1상 IND 변경승인신청,2026-연중,임상,Y,dart,2026-06-18,매출+137%(마일스톤 lumpy)·고점−57%·deep-dive완료
399720,가온칩스,단일판매·공급계약 수주 공시(6/11),2026-연중,수주,Y,dart,2026-06-18,⚠2025 매출−29%·적자·부채191%·PBR14 선반영·deep-dive완료
