claim_id,status,superseded_by,claim,value,unit,근거_스크립트,데이터_스냅샷,기간,최종검증일,문서_위치,비고,재현가능성,탐지패턴,현행사실
C-001,active,,배당 롱숏 프리미엄,3.4,%/yr,mini_factor_adj.py,2015~2026 조정본,2015-2026,2026-07-27,백서 90% · 대시보드,미조정 -2.5%에서 부호역전,,,
C-002,active,,B/P 롱숏 프리미엄,6.6,%/yr,mini_factor_adj.py,2015~2026 조정본,2015-2026,2026-07-27,백서 91%,미조정 8.2%에서 하향. 2008 미포함 낙관,,,
C-003,invalidated,,주도주+50%현금 방어 CAGR,20.1,%/yr,유니버스_규칙화_검정.py,30년 상폐포함 미조정,1996-2026(329M),2026-07-27,백서 20%/21%/47% 🚨미수정,룩어헤드 편향으로 무효. 교정 시 동적리더십 무방어 21.7→7.8%,reproducible_but_biased,20\.1\s*%|전 유니버스 최고|스윗스팟,7/23 게이트 3/4(G4 미달)이 유효. 사용중단 사유는 G4미달+조정본 미검증. 강등 철회됨
C-018,active,,주도주 멀티팩터 규칙 재현 CAGR,8.1,%/yr,mini_leader_rule.py,2015~2026 조정본,2015-2026,2026-07-27,백서 80%,별개 전략(가치z합성)의 독립 결과. 20.1%의 재현값 아님,reproducible,,
C-004,active,,KOSPI 벤치 CAGR,14.2,%/yr,mini_leader_rule.py,2015~2026 조정본,2015-2026,2026-07-27,백서 80% · 대시보드,,,,
C-005,active,,PBO 과최적확률,57.5,%,mini_pbo_dsr.py,격자30설정 CSCV 924조합,123개월,2026-07-27,백서 82%,,,,
C-006,superseded,C-005,PBO (외부감사 시점),0.571,비율,(07-26 산출),미상,미상,2026-07-26,백서 93%,B-2 이력으로 보존,,PBO\s*0\.571,PBO 57.5% (924조합 CSCV)
C-007,active,,DSR 디플레이트샤프>0 확률,91.7,%,mini_pbo_dsr.py,격자30설정 CSCV 924조합,123개월,2026-07-27,백서 82%,,,,
C-008,superseded,C-007,DSR (외부감사 시점),1.000,비율,(07-26 산출),미상,미상,2026-07-26,백서 93%,B-2 이력으로 보존,,DSR\s*1\.000,DSR 91.7% (95% 기준 미달)
C-009,active,,배당 IC HAC t,4.10,t,mini_factor_adj.py,조정본,2015-2026,2026-07-27,백서 · 대시보드,,,,
