date	내용
2005-03-31	카타르 지역 LNG선 수주 기대감으로 동반 상승
2005-05-24	실적회복 기대감으로 상승(대한투자증권의 조선업종 긍정적 평가영향/주도주 : 한진중공업)
2005-07-14	선가 하락우려가 심각하지 않다는 인식 확산(주도주:삼성중공업)
2005-08-29	위안화 절상에 따른 환율호재로 상승
2005-11-07	현대미포조선의 3분기 실적악화와 선가의 단기조정 가능성이 대두되며 조선주 약세
2005-11-28	실적호전과 주가 저평가에 대한 긍정적 평가(주도주 : 삼성중공업)
2006-01-16	특수선의 선가상승 및 조선업체들의 환헤징에 대한 긍정적 평가 영향(주도주 : 현대미포조선, 현대중공업)
2006-08-03	M&A재료, 업황호전 기대, 외국인 러브콜 등에 힘입어 동반 상승(주도주 : 대우조선해양)
2006-08-16	실적호전 기대감으로 동반 강세(주도주 : STX조선, 현대중공업, 한진중공업, 삼성중공업)
2006-10-19	대우증권의 조선업황에 대한 긍정적 평가영향(주도주 : 현대미포조선, 현대중공업, 한진중공업, STX)
2006-11-13	선가하락 우려감(로이드 선박금융회의에서)이 부각하며 큰 폭 하락(주도주 : 현대중공업, 삼성중공업, 현대미포조선, 대우조선해양)
2006-12-05	원화강세와 외국계증권사 부정적 평가로 일제히 하락(주도주 : 삼성중공업, 현대중공업, 대우조선해양 등...)
2006-12-06	원/달러 환율 920원선 붕괴에 따른 우려감 증폭(주도주 : 대우조선해양, 삼성중공업)
2007-03-19	신조선가 강세 전망으로 동반 상승(주도주 : STX, 현대미포조선, 현대중공업, 한진중공업, STX조선, 삼성중공업)
2007-03-21	수주호조에 따른 실적호조 전망과 안정적인 수급, 증권사 호평 등으로 동반 소폭 상승
2007-03-29	긍정적 업황전망과 함께 분기실적 발표를 앞두고 실적기대감이 커지면서 동반 상승(주도주 : 현대중공업, 현대미포조선, 삼성중공업, 한진중공업)
2007-04-09	실적발표 시즌이 도래함에 따라 실적 기대감으로 동반 상승(주도주 : STX, 현대미포조선, 삼성중공업)
2007-04-24	삼성중공업의 1분기 실적호전공시와 조선업종 1분기 실적호전 기대감(주도주 : 삼성중공업, 현대중공업, 한진중공업)
2007-05-07	컨테이너선 시황 회복으로 동반 상승(주도주 : 삼성중공업, STX조선, STX, 현대중공업)
2007-05-31	급등양상을 나타내며 또다시 사상 최고가 랠리 기록(주도주 : 현대중공업, 대우조선해양, 삼성중공업, 한진중공업)
2008-01-30	업황 악화 우려감과 외국인 매도세로 급락
2008-02-15	활발한 수주 및 BDI지수 큰 폭 반등에 힘입어 동반 상승
2008-04-04	중국주 재조명/실적개선 기대감으로 동반 상승
