date,item,hypothesis,통합결과,국면별결과,다중검정보정후,OOS결과,판정,사유
2026-07-13,전략 전체 (Track L+S),규칙 기반 추세추종이 코스피 buy&hold를 초과한다,CAGR +13.80% vs B&H +24.57%,안정성 있음,유의하지 않음,OOS CAGR +29.71%,기각,벤치마크 미초과 또는 통계적 유의성 없음
2026-07-13,Track L (중기 20주선),Track L 규칙의 거래당 기대값 > 0,"n=353, 평균 26,818원, p=0.0638",안정,유의하지 않음,OOS CAGR +33.35%,기각,다중검정 보정 후 유의성 없음
2026-07-13,Track S (단기 20일선),Track S 규칙의 거래당 기대값 > 0,"n=775, 평균 3,907원, p=0.0406",안정,유의하지 않음,OOS CAGR +20.86%,기각,다중검정 보정 후 유의성 없음
2026-07-13,할로윈 계절 오버레이,여름(5~10월) 노출 50%가 위험조정 성과를 개선한다,"KOSPI 지수 검정 4/4 게이트 통과 (단, 11.8년 데이터 공백)",—,미검정(오버레이는 t검정 대상 아님),OOS CAGR ON +33.26% vs OFF +29.71%,채택 검토,OOS에서 CAGR·Sharpe 동시 개선
2026-07-13,+1R 절반익절,+1R에서 절반 매도가 성과를 개선한다,"매도규칙서 v2 실측 17,948건: 기대값 -0.01R (엣지 소멸)",sweep에서 단조적으로 나쁨 (용량-반응),—,미적용(기본 OFF),기각,본인 실측 데이터가 명확히 기각. --half-tp 로 켤 수는 있음
2026-07-13,한·미 커플링 (coupling_state),커플링 국면에 따라 성과가 다르다 → 매크로 게이트 반영 후보,미반영 (기록 전용),COUPLED:n=88 / COUPLED:n=201 / COUPLED_STRONG:n=10 / COUPLED_STRONG:n=23 / DECOUPLED:n=238 / DECOUPLED:n=505 / INVERSE:n=14 / INVERSE:n=34 / 데이터부족:n=3 / 데이터부족:n=12,국면 셀 대부분 n<30,—,보류 — 검증 대기,표본 부족. 기록만 계속 축적. 규칙 미반영.
2026-07-13,파라미터 격자 (MA_SHORT/ATR_STOP/TIME_STOP),성과가 넓은 파라미터 고원에서 안정적이다,OOS 양(+) 18/18,—,—,OOS 중앙값 +31.26%,robust,넓은 고원
2026-07-13 20:29,할로윈 계절성 오버레이,기각 (post-publication decay),374,1.874,0.0242,1.012,0.1795,Bouman&Jacobsen2002 발표후 하위표본 + 이상치제거 강건성
2026-07-13 20:37,할로윈 계절성 오버레이,기각 (post-publication decay),374,1.874,0.0242,1.012,0.1795,Bouman&Jacobsen2002 발표후 하위표본 + 이상치제거 강건성
2026-07-13 20:37,할로윈 계절성 오버레이,기각 (post-publication decay),374,1.874,0.0242,1.012,0.1795,Bouman&Jacobsen2002 발표후 하위표본 + 이상치제거 강건성
2026-07-13 21:14,월초 강세 (turn-of-month),기각 (2011년 이후 소멸 + 비용),7859,+0.151,0.0013,-0.010,0.8696,Ariel1987/Lakonishok-Smidt1988 · 후반부 소멸 + 연24회 비용
2026-07-13 21:14,월 하순 조정,기각 (증거 없음),7859,-0.033,0.4637,+0.016,0.7314,전 구간 유의하지 않음
2026-07-13 21:19,월중패턴 v2 정정 (Lakonishok-Smidt1988 정의),기각 (패턴은 실재하나 2011년 이후 소멸+비용),7859,TOM +0.151/p=0.0013,하순 -0.094/p=0.0296,후반 p=0.8696,후반 p=0.7751,v1은 하순 창을 -5~-2로 잘못 잡아 '증거없음' 오판 → 논문 창 -9~-5로 정정
2026-07-13 21:32,월중 저점→다음달 고점 매매,기각 (OOS 붕괴),48조합,IN +1.403%/회 승률63.1%,IN p=0.0008,OOS -0.118%/회 승률45.7%,OOS p=0.6728,IN Sharpe vs OOS Sharpe 상관 -0.709 = 과최적화 서명
2026-07-13 21:41,하순효과 (종목레벨·코스닥 EW),조건부 생존 — 진입필터로만 (타이밍규칙은 비용에 패배),89개월,-0.127%p/일,p=0.0413 (Wilcoxon 0.0214),KOSPI지수 동기간 p=0.8445,비용0.45%시 buy&hold와 무승부,Lakonishok-Smidt1988 창(-9~-5) · 소형주에 잔존 · 생존편향 주의
2026-07-14 01:45,③ 하순필터 (30년 최종),★채택 — 진입필터로만,5051종목/1470만행/상폐포함,시총소 OOS p=0.0002,Bonferroni×12=0.0024,시총중 OOS p=0.0041,시총대 OOS p=0.1211 기각,(A)(B)(C) 통과 · (D)는 진입필터=비용0으로 통과 · 타이밍규칙은 비용에 패배
2026-07-14 01:45,① 할로윈 (30년 최종),기각 — 이상치 의존,30년,OOS p=0.0006,이상치6제외 p=0.1362,—,—,89개월 중 6개월만 빼면 소멸. 소수 여름폭락 의존
2026-07-14 01:45,② 월초강세 TOM (30년 최종),기각 — OOS 실패,30년,IN t=5.49 p=0.0000,이상치제거 후에도 p=0.0000,OOS p=0.1310,시총대 OOS p=0.5612,★교훈: IN에서 압도적이어도 OOS에서 죽는다. 사전봉인이 없었으면 채택했을 것
2026-07-14 01:45,④ 월중 저점→고점 (30년 최종),기각 — 전 세그먼트 OOS 실패,30년,IN p=0.2288~0.9011,—,OOS p=0.2701~0.9640,—,비용 0.45% 넣으면 승률 50% 이하
2026-07-14,Phase 1 전략 전체 (Track L+S),추세추종 규칙이 코스피 buy&hold를 초과한다,29.5년 CAGR -3.07% vs KOSPI B&H +8.69% (-11.76%p),"BULL/저변동에서만 수익. BEAR -778만, DD_BEAR -512만",—,10년 3구간 전부 패배 (-18.8/-4.4/-11.9%p),기각,PIT 유니버스+상폐포함+30년. 6.5년 +13.80%는 선택·생존편향+강세장 산물
2026-07-14,Track S (단기 20일선),단기 20일선 트랙이 기대값 > 0,"CAGR -7.79%, Sharpe -0.56, MDD -92.2%",—,—,Track L(-2.11%)보다 훨씬 나쁨. 회전율만 높음,기각 (강함),"거래 1,991건으로 더 많은데 결과 더 나쁨 = 비용만 더 냄"
2026-07-14,할로윈 계절 오버레이 (계절틸트_규칙서),여름 노출 50% 틸트가 위험조정 성과를 개선,30년 패널: 이상치 관문 탈락,89개월 중 6개만 빼면 효과 소멸,—,—,기각,계절틸트_규칙서.md 폐기 표기 완료. 엔진 기본값 OFF 유지
2026-07-14,[버그수정] 상장폐지 종목 청산,상폐 종목은 마지막 종가로 강제청산해야 한다,미처리 시 2008년 이후 거래 0건 (슬롯 영구 점유),—,—,SELL_DELIST 11건,채택 (버그수정),없으면 30년 백테스트가 무의미. 단 마지막종가 청산은 낙관적
2026-07-14,[버그수정] 사이징 = 현재자산의 2%,2%룰은 초기자본이 아니라 현재 자산 기준(안티-마틴게일),초기자본 고정 시 MDD -99.1% (죽음의 나선),—,—,수정 후 MDD -82.5%,채택 (버그수정),강세장 6.5년에선 자산이 안 줄어 드러나지 않던 버그
2026-07-14,[버그수정] 하순 필터 tier 배선,하순 필터는 소·중형만 적용 (대형주는 OOS 기각 p=0.1211),엔진이 tier 미전달 -> 기각된 규칙을 대형주에 적용 중이었음,Phase1 유니버스 160종목 중 159종목이 대형 -> 적용대상 0,—,—,채택 (버그수정),"jq_mcap_tier.py 신설. 소/중=차단, 대=통과 검증 완료"
2026-07-16 08:33,B 청산규칙 (하드스톱),★채택 — damage control,5057종목/1470만행/상폐내장,18규칙 전부 무청산 이김,두 진입(무작위·모멘텀) 일관,OOS 소형 파국 2.7→0.2%,최악5% -40→-14%,4관문 통과. 단 절대수익은 마이너스(알파 아님). 소형=트레일-15 최선. 재판정 2028-07
2026-07-16 08:33,20일 신고가 돌파 진입(맨몸),기각 — 절대 마이너스,30년,무청산 OOS 복리 -2.55%(전체),소형 -4.95%,,,청산검정 부산물. 돌파 진입도 비용 넣으면 안 번다. 진입 엣지 별도 검증 필요
2026-07-16 13:07,C 저변동성 (소·중형),★채택 — 진입 알파,5057종목/OOS봉인,IN t=3.1(중),단조 통과,OOS t=4.69(소)/5.04(중),롱온리net +5.7%/+3.0%,세션 첫 진입 알파. 대형 OOS t=0.72 기각(소>대 4번째). 저변동성=진우 고변동성 스타일의 반대
2026-07-16 13:07,C 52주 신고가,기각 — IN 무증거,30년,IN t≈0,,OOS만 양수,,4관문 (A) 탈락. 신고가 돌파는 B에서도 맨몸 마이너스
2026-07-16 13:07,C 모멘텀 12-1,기각 — 예측대로 죽음,30년,IN t≈0,,OOS t≈0,롱온리 -9~-13%,사전등록서에 '한국 모멘텀 약할것' 미리 적음. 그대로. 추격매수 순풍 아님
2026-07-16 13:07,C 저PBR·수익성GP,미결 — 재무부족,FY2019~2025뿐,IN 없음,,OOS 65개월,,재무 백필(get_market_fundamental 날짜별) 후 재검정. 그전까진 무판단
2026-07-16 15:40,C 저PBR (소·중형) — 백필후,★채택 — 두번째 진입알파,KRX PBR 2002~2026,IN t=4.88(전체)/4.76(중),단조 통과,OOS t=1.74(전체)/2.93(중),롱온리net +3.6%/+5.9%,재무백필로 미결→채택. IN 어마어마(연+27.8%)→OOS 약화됐으나 생존. 대형 OOS 0.42 기각(소>대 5번째)
2026-07-16 15:40,C 저PER — 백필후,기각 — OOS실패+편향,KRX PER 2002~2026,IN t=2.3~2.7,,OOS t=0.6~1.0 미달,롱온리 음수/미미,PER 60%커버(적자제외 선택편향). 밸류는 PBR로 잡힘. 저PER 아님
2026-07-16 18:55,① 고변동성×스톱,판정 — 스톱필수지만 저변동성엔 짐,5057종목/OOS봉인,(A)스톱 재앙방지 통과,소형 파국 5.8%→0.5%,(B)절대복리 -2.17% 실패,(C)저변동성(-0.42) 못이김,사전예측 (A)통과(B)실패(C)실패 그대로. 고변동성 하려면 스톱필수+그래도 차선. 에코프로머티 보호 정량화
2026-07-17,C 수익성GP — 단기창,기각 — 순풍 아님,DART FY2015~2025,IN t≈0(0.06~0.25),,OOS t 0.29~0.59·롱온리net 소-5.2/중-5.0,기각(단기창),고GP 소·중형서 롱숏 t≈0·롱온리net 음수(약-5%). 미결 아닌 기각. DataGuide 2002+로 정식창(IN2002-12) 재검정 여지. 팩터는 저변동·저PBR 2종 확정
