date	내용
2020-08-24	친환경차 등록대수 급증 소식 등에 상승(주도주 : 삼성SDI)
2020-08-25	중국 전기차 시장 회복 조짐 소식에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2020-08-26	CATL 배터리 탑재 中 전기차 잇단 화재 소식에 상승(주도주 : LG화학, 삼성SDI)
2020-09-01	7월 글로벌 전기차 배터리 판매량 반등 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2020-09-03	한국판 뉴딜 정책 발표에 상승(주도주 : LG화학, SK이노베이션)
2020-09-09	S&P 500지수 편입 무산, 차익 매물 출회 등으로 테슬라 폭락(-21.06%) 등에 하락
2020-09-10	테슬라 주가 급반등 영향 등에 상승(주도주 : LG화학, SK이노베이션)
2020-09-15	테슬라 주가 급등 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2020-09-22	테슬라 CEO 일론 머스크, LG화학 등 파트너사 배터리 셀 구매 확대 발언 등에 일부 관련주 상승(주도주 : LG화학)
2020-09-23	테슬라 배터리 데이 개최 속 신기술 제시 부재 실망감 등에 하락
2020-09-24	테슬라 배터리 데이 실망감 지속 및 전일 美 테슬라 10% 급락 등에 하락
2020-09-25	테슬라 주가 반등 및 LG화학/현대차 인도네시아 배터리공장 설립 기대감 등에 상승(주도주 : LG화학, SK이노베이션)
2020-09-29	일론 머스크, 2030년 이전 테슬라 연간 생산량 2천만대 도달 전망 등에 상승(주도주 : LG화학, 삼성SDI)
2020-10-19	코나 전기차 잇따른 화재 발생 소식에 하락
2020-10-20	인터배터리 2020 개막 기대감 및 GM 전기차 투자 계획 소식 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2020-11-03	美 바이든 당선 가능성 속 친환경 에너지 분야 수혜 기대감 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2020-11-05	美 대선 바이든 당선 기대감 속 친환경 정책 기대감 부각 등에 강세(주도주 : LG화학, SK이노베이션, 삼성SDI)
2020-11-06	글로벌 전기차 판매 호조 및 中 친환경차 확대 정책 기대감 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2020-11-09	美 대통령 선거 바이든 당선 소식에 따른 정책 기대감 등에 상승(주도주 : SK이노베이션, 삼성SDI)
2020-11-13	포드, 삼성SDI에 쿠가 플러그인하이브리드 화재 관련 손해배상 요구 소식에 하락
2020-11-16	국산 배터리 안정성 논란 속 하락
2020-11-17	테슬라 S&P500 편입 소식에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2020-11-23	LG화학, 中 생산 테슬라 모델Y 배터리 전량 수주 소식 등에 상승(주도주 : LG화학)
2020-11-24	2차전지 공급 부족 전망 및 테슬라 사상 최고치 경신 소식에 상승(주도주 : LG화학, 삼성SDI, SK이노베이션)
2020-12-09	포스코케미칼의 美 얼티엄셀즈에 전기차 배터리용 양극재 공급 소식 및 주요국 탄소배출 순제로 정책에 따른 친환경산업 성장 가속화 전망 등에 상승(주도주 : SK이노베이션, LG화학)
2020-12-14	테슬라, 모델S·모델X 생산 18일간 중단 소식 속 하락
2020-12-17	전기차 배터리시장 성장세 지속 전망 등에 상승(주도주 : LG화학, SK이노베이션)
2020-12-22	애플카 생산 소식 등으로 테슬라 주가 약세에 하락
2020-12-30	LG-인도네시아 배터리 협력 10조원 규모 소식 및 테슬라 신모델 출시 기대감 등에 강세(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-01-04	삼성SDI, 현대자동차 전기차(EV) 전용 플랫폼(E-GMP) 3차 배터리 공급사 최종 후보 선정 소식 등에 상승(주도주 : SK이노베이션, LG화학, 삼성SDI)
2021-01-07	美 민주당 블루웨이브 현실화에 따른 수혜 기대감 등에 상승(주도주 : LG화학, 삼성SDI, SK이노베이션)
2021-01-08	현대차-애플, 애플카 생산 협력 협의 소식 및 지난밤 테슬라 주가 800달러 돌파 등에 상승(주도주 : SK이노베이션, 삼성SDI, LG화학)
2021-01-19	삼성SDI, 롤스로이스 첫 순수전기차 배터리 공급 추진 소식에 상승(주도주 : SK이노베이션, 삼성SDI, LG화학)
2021-01-28	테슬라, 사상 첫 연간 흑자 달성에도 시장 기대치 하회 소식 등에 하락
2021-02-01	지난해 국내 배터리3사 점유율 전년 대비 2배 이상 증가 소식 등에 상승(주도주 : LG화학, SK이노베이션)
2021-02-22	中 CATL, 현대차 E-GMP 3차 배터리 물량 수주 속 국내 전기차 배터리 시장 위협 우려 등에 하락
2021-02-24	현대차, 코나 등 전기차 3종 리콜 소식 속 LG에너지솔루션 배터리 셀 결함 가능성 등에 약세
2021-02-26	테슬라 美 공장 모델3 생산 일시 중단 소식 속 주가 급락 등에 하락
2021-03-02	국내 배터리 3사 점유율 상위권 유지 및 2분기 업종 반등 전망 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-03-08	테슬라 600달러선 붕괴 등에 하락
2021-03-09	테슬라 주가 약세 지속 등에 하락
2021-03-11	지난해 세계 전기차 판매량 급증 소식 등에 상승(주도주 : LG화학, SK이노베이션, 삼성SDI)
2021-03-12	LG에너지솔루션, 5조원 이상 규모의 美 배터리 공장 투자 소식 등에 상승(주도주 : LG화학, SK이노베이션)
2021-03-16	폭스바겐 각형 배터리 확대 소식 속 국내 배터리社 점유율 하락 우려 등에 하락
