date	내용
2010-01-04	약 값 우대정책 추진 소식에 동반 상승(주도주 : 이수앱지스, 제넥신 등...)
2010-01-06	테마 순환매에 따른 기술적 반등으로 상승(주도주 : 마크로젠, 이수앱지스, 한올제약, 토자이홀딩스, 제넥신 등...)
2011-02-25	삼성그룹의 바이오산업 투자 소식에 관련주 동반 상승(주도주 : 팜스웰바이오, 이수앱지스, 슈넬생명과학, 마크로젠, 셀트리온 등...)
2011-11-24	슈넬컨소시엄 바이오시밀러 해외시장 진출 소식에 일부 관련주 동반상승(주도주 : 슈넬생명과학, 팜스웰바이오, 바이넥스)
2013-04-19	셀트리온의 리툭산 바이오시밀러(CT-P10) 임상 중단설에 하락
2015-02-16	얀센, 미국 특허상표국으로부터의 특허심사 거절 통보 소식에 관련주 상승(주도주 : 셀트리온,셀트리온제약)
2015-04-13	바이오시밀러 시장 성장 전망에 상승(주도주 : 셀트리온,셀트리온제약,알테오젠)
2015-11-06	한미약품 약 4조8,000억원 규모 기술수출 계약 소식에 관련주 동반 강세(주도주 : 한미약품, LG생명과학, 한올바이오파마)
2016-05-10	삼성바이오로직스를 비롯한 제약/바이오 업체들의 기업공개(IPO) 기대감 및 미국 헬스케어 업종 강세에 상승
2016-05-23	의약품 조건부 허가제 확대 소식에 상승
2017-02-01	트럼프의 조기 신약 허가 지원 발언에 상승
2017-08-28	한미약품의 당뇨·비만치료제 임상 재개 소식에 동반 상승(주도주 : 한미약품, 명문제약, 대웅제약)
2017-09-20	제약/바이오 업종 회복사이클 분석에 상승(주도주 : 셀트리온헬스케어, 녹십자, 셀트리온, 한미약품, 바이넥스)
2017-12-11	바이오시밀러 성장성 부각에 상승(주도주 : 셀트리온헬스케어,한미약품,삼성바이오로직스,대웅제약,셀트리온제약)
2018-01-12	KRX300 지수 편입 기대감에 강세(주도주 : 셀트리온제약, 셀트리온헬스케어, 셀트리온)
2018-01-19	셀트리온그룹주 급락 속 동반 하락
2018-02-01	美 제약·바이오주 하락 여파 속 동반 하락
2018-03-07	테마섹, 셀트리온·셀트리온헬스케어 지분 블록딜 소식에 셀트리온그룹주 급락 속 동반 하락
2018-03-29	셀트리온 램시마, 유럽서 오리지날 의약품 점유율 추월 소식에 상승(주도주 : 셀트리온, 셀트리온헬스케어, 셀트리온제약)
2018-04-09	삼성바이오에피스, 휴미라 바이오시밀러 "임랄디" 유럽 출시 기대감 등으로 상승(주도주 : 바이넥스, 알테오젠, 삼성바이오로직스)
2018-04-10	삼성바이오로직스, 올해 4개 바이오시밀러 시판 기대감 속 상승(주도주 : 삼성바이오로직스)
2018-04-11	코스닥 벤처펀드 출시에 따른 수급 개선 기대감에 상승(주도주 : 알테오젠, 동아에스티, 에이프로젠제약)
2018-04-12	금감원, 제약·바이오업체 10곳 감리 착수 소식에 하락
2018-04-18	바이오 버블 우려 속에 하락
2018-04-19	바이오 버블 우려 지속에 투자심리가 위축되며 약세
2018-04-23	공매도 및 거품 논란 지속 등으로 약세
2018-05-02	삼성바이오로직스 회계 처리 기준 위반 여파 등으로 하락
2018-05-04	삼성바이오로직스 분식회계 논란 지속 등으로 하락
2018-05-08	바이오 버블 우려 지속 및 증권사들의 바이오 관련 종목 대출등급 하향 루머 등으로 약세
